Date,148070.KS,294400.KS,BIL,BWX,EMB,HYG,IEF,LQD,NVDA,SHY,SPY,TIP,TLT,VEA
2020-09-16,115165.2265625,37455.0,79.55793762207031,27.825496673583984,89.20023345947266,64.845458984375,108.03026580810547,113.81012725830078,12.476412773132324,77.32266998291016,315.4814453125,104.69526672363281,141.3351287841797,36.21072769165039
2020-09-17,114969.7421875,36920.0,79.55793762207031,27.96471405029297,88.83015441894531,64.7764663696289,108.06575775146484,113.83525848388672,12.425572395324707,77.30482482910156,312.70672607421875,104.75323486328125,141.7671356201172,36.26218795776367
2020-09-18,115024.3046875,37035.0,79.54053497314453,27.946155548095703,88.42068481445312,64.61549377441406,107.96820068359375,113.62593078613281,12.152153968811035,77.31372833251953,309.1065979003906,104.6622085571289,141.3264617919922,36.00489044189453
2020-09-21,115037.9296875,36725.0,79.54053497314453,27.825496673583984,87.55450439453125,64.09423065185547,108.16334533691406,113.51712036132812,12.479158401489258,77.30482482910156,305.66644287109375,104.47187042236328,142.04367065429688,35.12630081176758
2020-09-22,115274.3359375,35865.0,79.54053497314453,27.723398208618164,87.3734130859375,64.31652069091797,108.16334533691406,113.5841064453125,12.599288940429688,77.32266998291016,308.7794189453125,104.50496673583984,141.93128967285156,35.117679595947266
2020-09-23,115624.40625,35990.0,79.54053497314453,27.528491973876953,86.24737548828125,63.6649284362793,108.16334533691406,112.76365661621094,12.086853981018066,77.32266998291016,301.6185607910156,104.39737701416016,142.12139892578125,34.75554656982422
2020-09-24,115656.21875,35160.0,79.54925537109375,27.491369247436523,86.47574615478516,63.7032585144043,108.2165756225586,112.47905731201172,12.310422897338867,77.31372833251953,302.42242431640625,104.47187042236328,142.6656951904297,34.703819274902344
2020-09-25,115678.953125,35350.0,79.54053497314453,27.48209571838379,86.89308166503906,63.5882568359375,108.3052978515625,112.36188507080078,12.83457088470459,77.32266998291016,307.3116760253906,104.612548828125,142.6656951904297,34.83315658569336
2020-09-28,115910.8203125,35840.0,79.54925537109375,27.612024307250977,87.08992767333984,64.00220489501953,108.28759002685547,112.93115234375,12.995329856872559,77.33160400390625,312.41595458984375,104.82769012451172,142.25962829589844,35.402217864990234
2020-09-29,115801.703125,36160.0,79.54925537109375,27.658428192138672,86.89308166503906,64.05587768554688,108.36737823486328,112.78875732421875,13.185500144958496,77.32266998291016,310.71453857421875,105.00149536132812,142.4237823486328,35.35048294067383
2020-09-30,,,79.54053497314453,27.537771224975586,87.31829833984375,64.31652069091797,108.07463836669922,112.77205657958984,13.489323616027832,77.33160400390625,313.0704040527344,104.6870346069336,141.05865478515625,35.26425552368164
2020-10-01,,,79.54053497314453,27.613937377929688,87.48104858398438,64.5374755859375,108.13591766357422,113.08582305908203,13.573065757751465,77.3136978149414,315.08026123046875,104.66792297363281,141.29127502441406,35.471187591552734
2020-10-02,,,79.54053497314453,27.660381317138672,87.17292785644531,64.5374755859375,108.02937316894531,113.10261535644531,13.022496223449707,77.32266998291016,312.0887756347656,104.68452453613281,140.76368713378906,35.39359664916992
2020-10-05,115401.6328125,36585.0,79.54053497314453,27.678955078125,87.51263427734375,65.02249145507812,107.34578704833984,112.7250747680664,13.600981712341309,77.29585266113281,317.62298583984375,104.3689956665039,138.01329040527344,35.94539260864258
2020-10-06,115006.109375,36645.0,79.54925537109375,27.68824577331543,87.57582092285156,64.8761978149414,107.5943603515625,112.63280487060547,13.694694519042969,77.29585266113281,313.1077575683594,104.38560485839844,138.7571563720703,35.574649810791016
2020-10-07,114878.8203125,37010.0,79.54053497314453,27.5767822265625,87.76544952392578,65.10719299316406,107.28363800048828,112.66637420654297,13.921502113342285,77.28692626953125,318.5578918457031,104.37730407714844,137.7452392578125,35.910911560058594
2020-10-08,114746.9765625,37045.0,79.54053497314453,27.74397850036621,88.6186752319336,65.25344848632812,107.47895812988281,112.9432144165039,13.79663372039795,77.28692626953125,321.38116455078125,104.79244232177734,138.48895263671875,36.17819595336914
2020-10-09,,,79.54053497314453,27.87400245666504,88.83200073242188,65.39972686767578,107.42570495605469,113.20329284667969,13.720865249633789,77.28692626953125,324.2511291503906,104.82568359375,138.46302795410156,36.41960906982422
2020-10-12,114710.609375,37195.0,79.54925537109375,27.85542869567871,89.0611343383789,65.73075866699219,107.54109954833984,113.85771942138672,14.182707786560059,77.30481719970703,329.4674987792969,104.89210510253906,138.90419006347656,36.600677490234375
2020-10-13,114851.5390625,37215.0,79.54053497314453,27.808990478515625,88.83993530273438,65.438232421875,107.78079986572266,113.7486343383789,14.204889297485352,77.29585266113281,327.3173828125,104.89210510253906,139.89883422851562,36.195438385009766
2020-10-14,115065.21875,36855.0,79.54053497314453,27.929746627807617,88.80831146240234,65.27652740478516,107.81627655029297,113.85771942138672,14.052353858947754,77.29585266113281,325.2607421875,104.89210510253906,140.2187957763672,36.11784362792969
2020-10-15,115447.09375,36545.0,79.54053497314453,27.799701690673828,88.45279693603516,65.23036193847656,107.70086669921875,113.74026489257812,13.927482604980469,77.3136978149414,324.8587951660156,104.8589096069336,139.9766082763672,35.721221923828125
2020-10-16,115397.0859375,36355.0,79.54925537109375,27.84613800048828,88.58708953857422,65.15333557128906,107.63875579833984,113.54732513427734,13.7694673538208,77.30481719970703,324.6624755859375,104.90040588378906,139.58741760253906,35.833309173583984
2020-10-19,115774.421875,36430.0,79.54925537109375,27.883291244506836,88.07357788085938,64.92240905761719,107.46122741699219,113.32915496826172,13.456672668457031,77.30481719970703,319.7264404296875,104.65131378173828,139.05992126464844,35.67810821533203
