Date,148070.KS,294400.KS,BIL,BWX,EMB,GOOG,HYG,IEF,LQD,SHY,SPY,TIP,TLT,VEA
2020-09-16,115165.2265625,37455.0,79.55790710449219,27.825490951538086,89.20021057128906,75.52813720703125,64.84547424316406,108.0302734375,113.81011199951172,77.32267761230469,315.4814758300781,104.6952896118164,141.33514404296875,36.21073532104492
2020-09-17,114969.7421875,36920.0,79.55790710449219,27.964717864990234,88.83014678955078,74.26824951171875,64.7764892578125,108.06576538085938,113.83521270751953,77.3047866821289,312.7067565917969,104.75325012207031,141.7671356201172,36.26218795776367
2020-09-18,115024.3046875,37035.0,79.54055786132812,27.94615936279297,88.4206771850586,72.50333404541016,64.61549377441406,107.96815490722656,113.62592315673828,77.3137435913086,309.1066589355469,104.66217803955078,141.3264617919922,36.0048942565918
2020-09-21,115037.9296875,36725.0,79.54055786132812,27.825490951538086,87.55451965332031,71.07164001464844,64.09420013427734,108.16334533691406,113.51712036132812,77.3047866821289,305.6663513183594,104.47185516357422,142.0435791015625,35.126304626464844
2020-09-22,115274.3359375,35865.0,79.54055786132812,27.723407745361328,87.37339782714844,72.77498626708984,64.3165283203125,108.16334533691406,113.58414459228516,77.32267761230469,308.77947998046875,104.50495147705078,141.93125915527344,35.11768341064453
2020-09-23,115624.40625,35990.0,79.54055786132812,27.52849578857422,86.24738311767578,70.27957153320312,63.6649169921875,108.16334533691406,112.76367950439453,77.32267761230469,301.6185302734375,104.39735412597656,142.12139892578125,34.755550384521484
2020-09-24,115656.21875,35160.0,79.54926300048828,27.491371154785156,86.47576141357422,70.92910766601562,63.703285217285156,108.21659851074219,112.47908020019531,77.3137435913086,302.4224853515625,104.47185516357422,142.66566467285156,34.703819274902344
2020-09-25,115678.953125,35350.0,79.54055786132812,27.482086181640625,86.89306640625,71.75695037841797,63.5882568359375,108.30529022216797,112.36188507080078,77.32267761230469,307.31170654296875,104.61254119873047,142.66566467285156,34.83315658569336
2020-09-28,115910.8203125,35840.0,79.54926300048828,27.612031936645508,87.08993530273438,72.72830963134766,64.00222778320312,108.28756713867188,112.93108367919922,77.33161926269531,312.4159240722656,104.82771301269531,142.25961303710938,35.40220642089844
2020-09-29,115801.703125,36160.0,79.54926300048828,27.658428192138672,86.89306640625,72.96717071533203,64.05585479736328,108.36740112304688,112.78885650634766,77.32267761230469,310.7145690917969,105.00148010253906,142.42379760742188,35.3504753112793
2020-09-30,,,79.54055786132812,27.537771224975586,87.31827545166016,72.98057556152344,64.3165283203125,108.07462310791016,112.77208709716797,77.33161926269531,313.0704345703125,104.68700408935547,141.0586395263672,35.264259338378906
2020-10-01,,,79.54055786132812,27.613943099975586,87.48103332519531,73.99812316894531,64.53748321533203,108.1358871459961,113.0858154296875,77.313720703125,315.0802307128906,104.66790771484375,141.291259765625,35.47118377685547
2020-10-02,,,79.54055786132812,27.66037940979004,87.17292785644531,72.42536926269531,64.53748321533203,108.02935028076172,113.10261535644531,77.32266235351562,312.0888366699219,104.68455505371094,140.76370239257812,35.39358139038086
2020-10-05,115401.6328125,36585.0,79.54055786132812,27.678951263427734,87.51264953613281,73.7959976196289,65.0224838256836,107.34578704833984,112.72509765625,77.2958755493164,317.62310791015625,104.36901092529297,138.01329040527344,35.945396423339844
2020-10-06,115006.109375,36645.0,79.54926300048828,27.688247680664062,87.57583618164062,72.17806243896484,64.8761978149414,107.5943603515625,112.63276672363281,77.2958755493164,313.1076965332031,104.38561248779297,138.75711059570312,35.57465362548828
2020-10-07,114878.8203125,37010.0,79.54055786132812,27.576784133911133,87.76544189453125,72.51824188232422,65.107177734375,107.28366088867188,112.66634368896484,77.28689575195312,318.5579528808594,104.3773193359375,137.74517822265625,35.91091537475586
2020-10-08,114746.9765625,37045.0,79.54055786132812,27.743976593017578,88.61870574951172,73.79153442382812,65.25344848632812,107.47897338867188,112.94320678710938,77.28689575195312,321.381103515625,104.79247283935547,138.48902893066406,36.178192138671875
2020-10-09,,,79.54055786132812,27.874011993408203,88.83200073242188,75.2460708618164,65.39971923828125,107.42572021484375,113.20330047607422,77.28689575195312,324.2511901855469,104.82571411132812,138.46302795410156,36.41961669921875
2020-10-12,114710.609375,37195.0,79.54926300048828,27.855424880981445,89.06111907958984,77.92424011230469,65.73075103759766,107.54110717773438,113.85771942138672,77.30477142333984,329.4674987792969,104.89210510253906,138.90415954589844,36.60067367553711
2020-10-13,114851.5390625,37215.0,79.54055786132812,27.808990478515625,88.83992004394531,78.04988098144531,65.43819427490234,107.78079223632812,113.74862670898438,77.2958755493164,327.31744384765625,104.89210510253906,139.89878845214844,36.19544219970703
2020-10-14,115065.21875,36855.0,79.54055786132812,27.929738998413086,88.80829620361328,77.8711166381836,65.27655792236328,107.81629180908203,113.85771942138672,77.2958755493164,325.2607421875,104.89210510253906,140.2187957763672,36.11783981323242
2020-10-15,115447.09375,36545.0,79.54055786132812,27.799705505371094,88.4527816772461,77.42664337158203,65.23037719726562,107.70091247558594,113.74021911621094,77.313720703125,324.85870361328125,104.85889434814453,139.97666931152344,35.72122573852539
2020-10-16,115397.0859375,36355.0,79.54926300048828,27.84613609313965,88.58710479736328,78.11592864990234,65.15337371826172,107.63874816894531,113.5472640991211,77.30477142333984,324.6624450683594,104.90040588378906,139.58738708496094,35.83331298828125
2020-10-19,115774.421875,36430.0,79.54926300048828,27.883298873901367,88.07356262207031,76.20896911621094,64.92240142822266,107.461181640625,113.32914733886719,77.30477142333984,319.72650146484375,104.65132904052734,139.059814453125,35.67811584472656
