Date,148070.KS,294400.KS,BIL,BWX,EMB,HYG,IEF,LQD,SHY,SPY,TIP,TLT,VEA
2020-09-15,114960.6484375,37580.0,79.54057312011719,27.84404754638672,89.41287231445312,64.84547424316406,108.09239959716797,113.73477172851562,77.31372833251953,316.73846435546875,104.69528198242188,141.7584686279297,36.210731506347656
2020-09-16,115165.234375,37455.0,79.55790710449219,27.825504302978516,89.20024871826172,64.84547424316406,108.0302734375,113.81017303466797,77.32266998291016,315.4814453125,104.69528198242188,141.3351593017578,36.210731506347656
2020-09-17,114969.75,36920.0,79.55790710449219,27.964719772338867,88.83015441894531,64.7764663696289,108.06575775146484,113.83529663085938,77.30481719970703,312.7066650390625,104.75323486328125,141.7671661376953,36.26219177246094
2020-09-18,115024.296875,37035.0,79.54057312011719,27.94614601135254,88.4206771850586,64.615478515625,107.96817779541016,113.62593841552734,77.31372833251953,309.10662841796875,104.66220092773438,141.3264923095703,36.00489807128906
2020-09-21,115037.9296875,36725.0,79.54057312011719,27.825504302978516,87.55451202392578,64.09422302246094,108.16334533691406,113.51713562011719,77.30481719970703,305.66644287109375,104.47185516357422,142.04356384277344,35.126304626464844
2020-09-22,115274.34375,35865.0,79.54057312011719,27.723398208618164,87.37339782714844,64.31653594970703,108.16334533691406,113.58409118652344,77.32266998291016,308.7794189453125,104.50495910644531,141.9312744140625,35.11768341064453
2020-09-23,115624.3984375,35990.0,79.54057312011719,27.528499603271484,86.24739074707031,63.66490936279297,108.16334533691406,112.7636947631836,77.32266998291016,301.6184997558594,104.39736938476562,142.12142944335938,34.75556182861328
2020-09-24,115656.21875,35160.0,79.54924011230469,27.491365432739258,86.47574615478516,63.7032356262207,108.21656799316406,112.47908020019531,77.31372833251953,302.4225158691406,104.47185516357422,142.66571044921875,34.70382308959961
2020-09-25,115678.9453125,35350.0,79.54057312011719,27.482088088989258,86.89308166503906,63.588253021240234,108.30528259277344,112.36188507080078,77.32266998291016,307.31170654296875,104.612548828125,142.66571044921875,34.833160400390625
2020-09-28,115910.8125,35840.0,79.54924011230469,27.612037658691406,87.08992767333984,64.00225067138672,108.28755950927734,112.93106842041016,77.33161926269531,312.416015625,104.82770538330078,142.25961303710938,35.4022102355957
2020-09-29,115801.703125,36160.0,79.54924011230469,27.65842628479004,86.89308166503906,64.05584716796875,108.36740112304688,112.78881072998047,77.32266998291016,310.71453857421875,105.00152587890625,142.423828125,35.35047912597656
2020-09-30,,,79.54057312011719,27.537771224975586,87.31827545166016,64.31653594970703,108.07463073730469,112.77210235595703,77.33161926269531,313.0703430175781,104.68701934814453,141.0585479736328,35.26425552368164
2020-10-01,,,79.54057312011719,27.61393165588379,87.48103332519531,64.5374984741211,108.13590240478516,113.08586883544922,77.313720703125,315.0802307128906,104.66793060302734,141.29132080078125,35.47119140625
2020-10-02,,,79.54057312011719,27.660375595092773,87.17291259765625,64.5374984741211,108.02935028076172,113.10263061523438,77.32268524169922,312.0887756347656,104.68453216552734,140.7637176513672,35.39358901977539
2020-10-05,115401.6328125,36585.0,79.54057312011719,27.678953170776367,87.51265716552734,65.02247619628906,107.34580993652344,112.72510528564453,77.29583740234375,317.62310791015625,104.3690414428711,138.0133514404297,35.94540023803711
2020-10-06,115006.1171875,36645.0,79.54924011230469,27.688247680664062,87.57587432861328,64.876220703125,107.5943832397461,112.6327896118164,77.29583740234375,313.1077880859375,104.38562774658203,138.75711059570312,35.57465744018555
2020-10-07,114878.8125,37010.0,79.54057312011719,27.576786041259766,87.76546478271484,65.10718536376953,107.28365325927734,112.66633605957031,77.28691101074219,318.5579833984375,104.37732696533203,137.7451171875,35.910911560058594
2020-10-08,114746.96875,37045.0,79.54057312011719,27.74397087097168,88.61868286132812,65.25342559814453,107.47895050048828,112.9432144165039,77.28691101074219,321.38116455078125,104.7924575805664,138.48898315429688,36.17820358276367
2020-10-09,,,79.54057312011719,27.874006271362305,88.83199310302734,65.39971160888672,107.42565155029297,113.20327758789062,77.28691101074219,324.2511291503906,104.82569885253906,138.4630584716797,36.41961669921875
2020-10-12,114710.6015625,37195.0,79.54924011230469,27.855432510375977,89.06111907958984,65.73074340820312,107.54109191894531,113.85769653320312,77.30480194091797,329.467529296875,104.89212036132812,138.90414428710938,36.60067367553711
2020-10-13,114851.5390625,37215.0,79.54057312011719,27.808990478515625,88.83990478515625,65.43820190429688,107.7807846069336,113.74864196777344,77.29583740234375,327.3174133300781,104.89212036132812,139.89878845214844,36.19544219970703
2020-10-14,115065.2109375,36855.0,79.54057312011719,27.92973518371582,88.80831146240234,65.27654266357422,107.8162841796875,113.85769653320312,77.29583740234375,325.2607421875,104.89212036132812,140.21881103515625,36.11784362792969
2020-10-15,115447.09375,36545.0,79.54057312011719,27.79970359802246,88.4527816772461,65.2303695678711,107.7009048461914,113.7402572631836,77.313720703125,324.85888671875,104.85890197753906,139.97662353515625,35.72123336791992
2020-10-16,115397.0859375,36355.0,79.54924011230469,27.84615707397461,88.58706665039062,65.15336608886719,107.63874053955078,113.54724884033203,77.30480194091797,324.6624755859375,104.90042114257812,139.5874481201172,35.83331298828125
2020-10-19,115774.4296875,36430.0,79.54924011230469,27.883296966552734,88.07354736328125,64.92242431640625,107.46119689941406,113.32916259765625,77.30480194091797,319.7264709472656,104.65132904052734,139.0598602294922,35.678123474121094
2020-10-20,115633.484375,36695.0,79.54057312011719,27.957599639892578,88.1209487915039,65.15336608886719,107.23037719726562,113.09423065185547,77.29583740234375,321.0072326660156,104.56000518798828,137.7365264892578,35.87642288208008
