Date,148070.KS,294400.KS,BIL,BWX,EMB,GOOG,HYG,IEF,LQD,NVDA,SHY,SPY,TIP,TLT,VEA
2020-09-16,115165.234375,37455.0,79.55791473388672,27.825490951538086,89.2002182006836,75.52812957763672,64.84542083740234,108.03025817871094,113.81014251708984,12.47641372680664,77.32266998291016,315.4814453125,104.69530487060547,141.33502197265625,36.210731506347656
2020-09-17,114969.7421875,36920.0,79.55791473388672,27.964710235595703,88.83016204833984,74.26825714111328,64.77647399902344,108.06576538085938,113.83525085449219,12.425570487976074,77.30477905273438,312.7066955566406,104.75321960449219,141.76718139648438,36.2621955871582
2020-09-18,115024.3046875,37035.0,79.5405502319336,27.946155548095703,88.42071533203125,72.50333404541016,64.6155014038086,107.96817016601562,113.62596130371094,12.152153968811035,77.31375885009766,309.1066589355469,104.66222381591797,141.3264617919922,36.00489044189453
2020-09-21,115037.9296875,36725.0,79.5405502319336,27.825490951538086,87.55452728271484,71.07164001464844,64.09420776367188,108.16333770751953,113.51708221435547,12.479156494140625,77.30477905273438,305.6663513183594,104.47185516357422,142.0436248779297,35.126304626464844
2020-09-22,115274.34375,35865.0,79.5405502319336,27.7233943939209,87.37340545654297,72.77497100830078,64.31653594970703,108.16333770751953,113.5841293334961,12.59929084777832,77.32266998291016,308.7794189453125,104.50492095947266,141.9312744140625,35.11768341064453
2020-09-23,115624.3984375,35990.0,79.5405502319336,27.528501510620117,86.24737548828125,70.2795639038086,63.66493606567383,108.16333770751953,112.76368713378906,12.086852073669434,77.32266998291016,301.6185607910156,104.39738464355469,142.12135314941406,34.75555419921875
2020-09-24,115656.21875,35160.0,79.54924011230469,27.49136734008789,86.47576904296875,70.92911529541016,63.7032470703125,108.21658325195312,112.47908020019531,12.310420036315918,77.31375885009766,302.4224853515625,104.47185516357422,142.6656951904297,34.70382308959961
2020-09-25,115678.9453125,35350.0,79.5405502319336,27.482088088989258,86.89308166503906,71.75695037841797,63.588287353515625,108.30528259277344,112.36183166503906,12.834571838378906,77.32266998291016,307.311767578125,104.612548828125,142.6656951904297,34.83315658569336
2020-09-28,115910.8125,35840.0,79.54924011230469,27.612022399902344,87.08992767333984,72.7282943725586,64.00224304199219,108.28752899169922,112.93114471435547,12.995330810546875,77.33163452148438,312.4159851074219,104.82769012451172,142.2595977783203,35.40220642089844
2020-09-29,115801.703125,36160.0,79.54924011230469,27.658437728881836,86.89308166503906,72.96717071533203,64.05586242675781,108.36738586425781,112.7888412475586,13.185498237609863,77.32266998291016,310.7145690917969,105.0014877319336,142.4237823486328,35.35047912597656
2020-09-30,,,79.5405502319336,27.537778854370117,87.31828308105469,72.98058319091797,64.31653594970703,108.07462310791016,112.7720718383789,13.489320755004883,77.33163452148438,313.07037353515625,104.68702697753906,141.05865478515625,35.264259338378906
2020-10-01,,,79.5405502319336,27.613937377929688,87.48101043701172,73.99811553955078,64.53746795654297,108.13587951660156,113.08586883544922,13.573064804077148,77.31373596191406,315.080322265625,104.6679458618164,141.291259765625,35.47119140625
2020-10-02,,,79.5405502319336,27.660381317138672,87.17290496826172,72.42537689208984,64.53746795654297,108.02932739257812,113.10260009765625,13.02249813079834,77.32268524169922,312.0887145996094,104.68452453613281,140.76365661621094,35.393585205078125
2020-10-05,115401.6328125,36585.0,79.5405502319336,27.678964614868164,87.51262664794922,73.79598999023438,65.02247619628906,107.3458023071289,112.7250747680664,13.600981712341309,77.29583740234375,317.623046875,104.36900329589844,138.01324462890625,35.945396423339844
2020-10-06,115006.109375,36645.0,79.54924011230469,27.688247680664062,87.57585144042969,72.17805480957031,64.8761978149414,107.5943603515625,112.63278198242188,13.694694519042969,77.29583740234375,313.1077575683594,104.38563537597656,138.75709533691406,35.57464599609375
2020-10-07,114878.8125,37010.0,79.5405502319336,27.576784133911133,87.76541900634766,72.51824951171875,65.10717010498047,107.28367614746094,112.66632843017578,13.921504020690918,77.28689575195312,318.557861328125,104.37728881835938,137.74510192871094,35.91090393066406
2020-10-08,114746.9765625,37045.0,79.5405502319336,27.74396514892578,88.61869049072266,73.79153442382812,65.25343322753906,107.47893524169922,112.94318389892578,13.79663372039795,77.28689575195312,321.381103515625,104.79247283935547,138.4889373779297,36.178199768066406
2020-10-09,,,79.5405502319336,27.874006271362305,88.83200073242188,75.24607849121094,65.39973449707031,107.4256820678711,113.20329284667969,13.720865249633789,77.28689575195312,324.25115966796875,104.8256607055664,138.46304321289062,36.419620513916016
2020-10-12,114710.6015625,37195.0,79.54924011230469,27.85542869567871,89.06110382080078,77.92424011230469,65.73075103759766,107.54106140136719,113.85770416259766,14.182705879211426,77.30477142333984,329.467529296875,104.89208221435547,138.9041748046875,36.60068130493164
2020-10-13,114851.5390625,37215.0,79.5405502319336,27.808996200561523,88.83988952636719,78.04987335205078,65.4382095336914,107.78083801269531,113.74861907958984,14.204886436462402,77.29583740234375,327.3173828125,104.89208221435547,139.89883422851562,36.195438385009766
2020-10-14,115065.2109375,36855.0,79.5405502319336,27.929737091064453,88.80830383300781,77.87110137939453,65.27652740478516,107.81629943847656,113.85770416259766,14.052351951599121,77.29583740234375,325.2607116699219,104.89208221435547,140.2187957763672,36.11784362792969
2020-10-15,115447.09375,36545.0,79.5405502319336,27.79970359802246,88.4527816772461,77.42665100097656,65.23035430908203,107.70088195800781,113.74022674560547,13.92748737335205,77.31373596191406,324.8587951660156,104.85888671875,139.97666931152344,35.721229553222656
