Date,148070.KS,294400.KS,BIL,BWX,EMB,HYG,IEF,LQD,META,NVDA,SHY,SPY,TIP,TLT,VEA
2020-10-01,,,79.5405502319336,27.613933563232422,87.4810562133789,64.53748321533203,108.13590240478516,113.08583068847656,265.17523193359375,13.573065757751465,77.313720703125,315.080322265625,104.66790771484375,141.29129028320312,35.471187591552734
2020-10-02,,,79.5405502319336,27.660371780395508,87.17291259765625,64.53748321533203,108.02936553955078,113.10261535644531,258.521728515625,13.022497177124023,77.32266235351562,312.0887756347656,104.68450164794922,140.76368713378906,35.39358139038086
2020-10-05,115401.6328125,36585.0,79.5405502319336,27.678951263427734,87.51265716552734,65.0224838256836,107.34578704833984,112.72502136230469,263.2060852050781,13.60097885131836,77.29585266113281,317.623046875,104.3690414428711,138.0133056640625,35.945404052734375
2020-10-06,115006.109375,36645.0,79.5492172241211,27.688247680664062,87.57585906982422,64.87620544433594,107.59437561035156,112.63279724121094,257.24871826171875,13.694693565368652,77.29585266113281,313.1077880859375,104.3856201171875,138.7571258544922,35.574649810791016
2020-10-07,114878.8125,37010.0,79.5405502319336,27.576784133911133,87.76543426513672,65.10719299316406,107.28364562988281,112.66632843017578,256.7117004394531,13.921504020690918,77.28689575195312,318.5579833984375,104.37731170654297,137.7451934814453,35.910911560058594
2020-10-08,114746.96875,37045.0,79.5405502319336,27.743974685668945,88.61871337890625,65.25346374511719,107.47895812988281,112.94324493408203,262.32086181640625,13.796634674072266,77.28689575195312,321.3811340332031,104.79244995117188,138.4889373779297,36.178192138671875
2020-10-09,,,79.5405502319336,27.874008178710938,88.83199310302734,65.39972686767578,107.42566680908203,113.20330047607422,263.00714111328125,13.720864295959473,77.28689575195312,324.2511291503906,104.82571411132812,138.4630584716797,36.419612884521484
2020-10-12,114710.609375,37195.0,79.5492172241211,27.855438232421875,89.06111145019531,65.73075103759766,107.54109191894531,113.85771942138672,274.2454833984375,14.18270492553711,77.30477142333984,329.4674987792969,104.89209747314453,138.90420532226562,36.60068130493164
2020-10-13,114851.5390625,37215.0,79.5405502319336,27.808990478515625,88.83988952636719,65.43822479248047,107.78076171875,113.74864959716797,274.63336181640625,14.204887390136719,77.29585266113281,327.3174133300781,104.89209747314453,139.89874267578125,36.1954345703125
2020-10-14,115065.2109375,36855.0,79.5405502319336,27.92974090576172,88.80831909179688,65.27653503417969,107.81627655029297,113.85771942138672,270.3369140625,14.052353858947754,77.29585266113281,325.2607727050781,104.89209747314453,140.21884155273438,36.11783981323242
2020-10-15,115447.09375,36545.0,79.5405502319336,27.79969596862793,88.45278930664062,65.2303695678711,107.70088958740234,113.74024963378906,265.26470947265625,13.927485466003418,77.313720703125,324.8587951660156,104.8589096069336,139.97665405273438,35.721229553222656
2020-10-16,115397.0859375,36355.0,79.5492172241211,27.846149444580078,88.58706665039062,65.15337371826172,107.6387710571289,113.54730224609375,264.4790344238281,13.7694673538208,77.30477142333984,324.6624450683594,104.90039825439453,139.58740234375,35.83332061767578
2020-10-19,115774.421875,36430.0,79.5492172241211,27.883302688598633,88.07354736328125,64.92237854003906,107.4612045288086,113.32919311523438,259.9737243652344,13.456671714782715,77.30477142333984,319.7264709472656,104.65133666992188,139.0598602294922,35.67811584472656
2020-10-20,115633.484375,36695.0,79.5405502319336,27.957603454589844,88.12096405029297,65.15337371826172,107.23039245605469,113.09422302246094,266.10015869140625,13.603972434997559,77.29585266113281,321.0071716308594,104.55996704101562,137.73658752441406,35.876426696777344
2020-10-21,115087.9453125,36815.0,79.5405502319336,28.10621452331543,87.67066955566406,65.14568328857422,107.08832550048828,112.9096908569336,277.2091979980469,13.483590126037598,77.29585266113281,320.3995666503906,104.52676391601562,137.26083374023438,35.75572204589844
2020-10-22,115233.4296875,36560.0,79.5492172241211,27.96689796447754,87.25981140136719,65.26114654541016,106.71549987792969,112.6579818725586,276.6025085449219,13.32033920288086,77.26899719238281,322.15704345703125,104.3690414428711,135.83375549316406,35.79020309448242
2020-10-23,115351.6328125,36700.0,79.5492172241211,28.059770584106445,87.67066955566406,65.3381576538086,106.86642456054688,112.94324493408203,283.2361755371094,13.54888916015625,77.27796936035156,323.2508239746094,104.49356842041016,136.66397094726562,35.9885139465332
2020-10-26,115469.8203125,36600.0,79.5492172241211,27.985462188720703,87.3546142578125,64.76071166992188,107.1504898071289,113.17813873291016,275.5980224609375,13.101256370544434,77.28689575195312,317.2770690917969,104.57659149169922,137.9354248046875,35.31599044799805
2020-10-27,115306.1640625,36315.0,79.5405502319336,28.087635040283203,87.8760757446289,64.7915267944336,107.39021301269531,113.63954162597656,281.74432373046875,13.355978965759277,77.28689575195312,316.1833801269531,104.78414916992188,138.86085510253906,35.0487060546875
2020-10-28,115274.34375,36520.0,79.5405502319336,27.957603454589844,87.12548828125,64.25261688232422,107.38129425048828,113.07744598388672,266.2095642089844,12.588568687438965,77.28689575195312,305.37664794921875,104.65133666992188,138.9906463623047,34.022682189941406
2020-10-29,115087.9453125,36100.0,79.5492172241211,27.808990478515625,87.15709686279297,64.43738555908203,106.92858123779297,112.78386688232422,279.2977294921875,12.98436450958252,77.30477142333984,308.4802551269531,104.29427337646484,137.64137268066406,34.18650436401367
2020-10-30,114878.8125,35170.0,79.5492172241211,27.81828498840332,86.9201431274414,64.57594299316406,106.5823745727539,112.19654846191406,261.6744079589844,12.495855331420898,77.29585266113281,305.264404296875,103.97877502441406,136.28341674804688,34.01405715942383
2020-11-02,114328.71875,35675.0,79.5492172241211,27.70952606201172,87.0596694946289,64.72980499267578,106.76533508300781,112.63624572753906,259.9339599609375,12.542463302612305,77.294921875,308.68597412109375,104.35999298095703,137.30435180664062,34.42791748046875
2020-11-03,114319.6171875,36390.0,79.5492172241211,27.858247756958008,87.76534271240234,65.28652954101562,106.52550506591797,112.74552917480469,263.8525085449219,12.979877471923828,77.27706909179688,314.1361083984375,104.27677154541016,136.5077362060547,35.307369232177734
2020-11-04,114656.0546875,36620.0,79.5405502319336,28.05345344543457,89.46210479736328,65.89730834960938,107.4227066040039,114.43544006347656,285.81201171875,13.752267837524414,77.294921875,321.1568298339844,104.45158386230469,139.46888732910156,35.66948699951172
2020-11-05,115028.84375,37435.0,79.5492172241211,28.313718795776367,89.8031005859375,66.1292495727539,107.4049072265625,114.8642578125,293.07220458984375,14.116908073425293,77.27706909179688,327.4202575683594,104.53482818603516,139.71131896972656,36.53169631958008
2020-11-06,114751.5234375,37530.0,79.5405502319336,28.37879753112793,89.40663146972656,65.89730834960938,107.04067993164062,114.50273895263672,291.80914306640625,14.517683982849121,77.28599548339844,327.345458984375,104.06034851074219,138.02294921875,36.60929870605469
2020-11-09,114656.0546875,37985.0,79.5492172241211,28.02556800842285,89.83476257324219,66.3998794555664,106.25010681152344,113.63674926757812,277.2489929199219,13.589265823364258,77.2591552734375,331.4587707519531,103.76067352294922,135.12240600585938,37.60945510864258
2020-11-10,114110.5,38000.0,79.5405502319336,28.016273498535156,89.73960876464844,66.30709838867188,105.94808197021484,113.34246826171875,270.9435729980469,12.73114013671875,77.25021362304688,330.9726867675781,103.8605728149414,134.34310913085938,37.88536071777344
2020-11-11,113833.1875,38575.0,79.5405502319336,27.969797134399414,90.08055114746094,66.28388977050781,106.11687469482422,113.55269622802734,274.97149658203125,13.377164840698242,77.2323226928711,333.4313049316406,104.04371643066406,134.82801818847656,38.204383850097656
2020-11-12,113928.65625,38410.0,79.5405502319336,28.02556800842285,89.9061508178711,65.83545684814453,106.72089385986328,114.00668334960938,273.5790710449219,13.415794372558594,77.24124908447266,330.19671630859375,104.33503723144531,137.12245178222656,37.65256881713867
2020-11-13,114110.5,38775.0,79.5492172241211,28.109230041503906,90.25501251220703,66.0596923828125,106.57878112792969,114.14119720458984,275.4389343261719,13.256531715393066,77.24124908447266,334.7680969238281,104.32670593261719,136.94064331054688,38.18714141845703
2020-11-16,114124.140625,39645.0,79.5492172241211,28.239355087280273,90.45321655273438,66.43077850341797,106.49881744384766,114.51113891601562,277.4379577636719,13.474117279052734,77.2591552734375,338.94683837890625,104.18521881103516,136.6116943359375,38.678592681884766
2020-11-17,114155.96875,39630.0,79.5492172241211,28.34160614013672,90.29463958740234,66.45399475097656,106.77420806884766,114.88109588623047,273.4995422363281,13.381401062011719,77.25021362304688,337.12396240234375,104.35999298095703,137.50341796875,38.66135025024414
2020-11-18,114401.46875,39575.0,79.5492172241211,28.313718795776367,90.21536254882812,66.3302993774414,106.73868560791016,115.12488555908203,270.486083984375,13.387880325317383,77.25021362304688,333.06671142578125,104.39332580566406,137.9016876220703,38.45441818237305
2020-11-19,114383.28125,39620.0,79.5492172241211,28.332307815551758,90.42151641845703,66.55448913574219,106.85417938232422,115.76390075683594,271.4508361816406,13.399349212646484,77.26809692382812,334.468994140625,104.50153350830078,138.61170959472656,38.687225341796875
2020-11-20,114365.09375,39675.0,79.5492172241211,28.388090133666992,90.48495483398438,66.43077850341797,107.04067993164062,115.6629867553711,268.228515625,13.047919273376465,77.27706909179688,332.1786193847656,104.734619140625,139.8411407470703,38.816558837890625
2020-11-23,114615.1328125,40585.0,79.5492172241211,28.295127868652344,90.41358184814453,66.53128051757812,106.8275146484375,115.805908203125,266.9654235839844,13.10000991821289,77.27706909179688,334.1698303222656,104.6513671875,139.20050048828125,38.842411041259766
2020-11-24,114392.3671875,40815.0,79.5492172241211,28.37879753112793,90.54045104980469,66.73235321044922,106.65873718261719,115.54527282714844,275.40911865234375,12.918316841125488,77.28599548339844,339.5545654296875,104.68464660644531,137.81515502929688,39.463199615478516
