Date,GOOG,META,MSFT,NVDA,PLTR
2020-09-16,75.52814483642578,262.0821533203125,196.6071319580078,12.476414680480957,
2020-09-17,74.26825714111328,253.42967224121094,194.5552520751953,12.425569534301758,
2020-09-18,72.50333404541016,251.1521759033203,192.13902282714844,12.152154922485352,
2020-09-21,71.0716323852539,246.79605102539062,194.20050048828125,12.479157447814941,
2020-09-22,72.77498626708984,253.36004638671875,198.87957763671875,12.599287033081055,
2020-09-23,70.27955627441406,247.6613311767578,192.33074951171875,12.086852073669434,
2020-09-24,70.92910766601562,248.1685333251953,194.82374572753906,12.310420989990234,
2020-09-25,71.75695037841797,253.42967224121094,199.2631072998047,12.834569931030273,
2020-09-28,72.72830200195312,255.41879272460938,200.81640625,12.995328903198242,
2020-09-29,72.9671630859375,260.36163330078125,198.72613525390625,13.185498237609863,
2020-09-30,72.98057556152344,260.4710388183594,201.66976928710938,13.4893217086792,9.5
2020-10-01,73.99811553955078,265.1752014160156,203.71205139160156,13.573065757751465,9.460000038146973
2020-10-02,72.42537689208984,258.5217590332031,197.7001953125,13.022496223449707,9.199999809265137
2020-10-05,73.7959976196289,263.2060241699219,201.71771240234375,13.600980758666992,9.029999732971191
2020-10-06,72.17806243896484,257.24871826171875,197.4317626953125,13.694695472717285,9.899999618530273
2020-10-07,72.51824188232422,256.711669921875,201.19033813476562,13.921502113342285,10.0
2020-10-08,73.7915267944336,262.3209228515625,201.90945434570312,13.79663372039795,10.0
2020-10-09,75.2460708618164,263.0071105957031,206.9241180419922,13.720865249633789,9.949999809265137
2020-10-12,77.92424774169922,274.2454833984375,212.28392028808594,14.182706832885742,9.890000343322754
2020-10-13,78.04988098144531,274.6333923339844,213.68385314941406,14.204887390136719,9.470000267028809
2020-10-14,77.87110137939453,270.3369140625,211.7661895751953,14.052356719970703,9.34000015258789
2020-10-15,77.42665100097656,265.2647399902344,210.6156005859375,13.927486419677734,9.90999984741211
2020-10-16,78.11593627929688,264.4790344238281,210.6156005859375,13.7694673538208,9.710000038146973
2020-10-19,76.208984375,259.9737548828125,205.3995819091797,13.456671714782715,9.569999694824219
2020-10-20,77.26773834228516,266.10015869140625,205.8118896484375,13.603973388671875,9.270000457763672
2020-10-21,79.1240234375,277.2091979980469,205.95571899414062,13.483589172363281,9.199999809265137
2020-10-22,80.21755981445312,276.6025390625,206.04202270507812,13.320338249206543,9.680000305175781
2020-10-23,81.4923324584961,283.23614501953125,207.32681274414062,13.54888916015625,9.489999771118164
2020-10-26,78.98200225830078,275.5980529785156,201.4300537109375,13.10125732421875,9.949999809265137
2020-10-27,79.66780853271484,281.744384765625,204.46954345703125,13.355978012084961,10.949999809265137
2020-10-28,75.31559753417969,266.2095642089844,194.33473205566406,12.58857250213623,10.850000381469727
2020-10-29,77.82939147949219,279.2977294921875,196.2907257080078,12.984363555908203,10.75
2020-10-30,80.49961853027344,261.6744079589844,194.1333770751953,12.495856285095215,10.130000114440918
2020-11-02,80.74890899658203,259.9339599609375,193.99916076660156,12.542462348937988,10.539999961853027
2020-11-03,81.94969177246094,263.85247802734375,197.93031311035156,12.979878425598145,10.5
2020-11-04,86.86207580566406,285.8119812011719,207.48019409179688,13.752267837524414,10.720000267028809
2020-11-05,87.56924438476562,293.07220458984375,214.0961151123047,14.116907119750977,11.880000114440918
2020-11-06,87.48880004882812,291.80914306640625,214.50840759277344,14.517683029174805,13.829999923706055
2020-11-09,87.55086517333984,277.24896240234375,209.3979034423828,13.589266777038574,14.670000076293945
2020-11-10,86.42804718017578,270.9435729980469,202.32174682617188,12.731136322021484,14.0
2020-11-11,87.03986358642578,274.97149658203125,207.6336669921875,13.37716293334961,15.960000038146973
2020-11-12,86.89733123779297,273.5791015625,206.5693359375,13.415796279907227,14.579999923706055
2020-11-13,88.24710083007812,275.43890380859375,207.59530639648438,13.2565336227417,15.800000190734863
2020-11-16,88.463623046875,277.43798828125,208.28565979003906,13.474119186401367,15.930000305175781
2020-11-17,87.90594482421875,273.49957275390625,205.62969970703125,13.381401062011719,17.850000381469727
2020-11-18,86.74537658691406,270.486083984375,202.91873168945312,13.3878812789917,17.899999618530273
2020-11-19,87.5965576171875,271.4508361816406,204.20692443847656,13.399348258972168,18.979999542236328
2020-11-20,86.51744079589844,268.22845458984375,202.25540161132812,13.047920227050781,18.149999618530273
2020-11-23,86.1534194946289,266.9653625488281,201.98622131347656,13.10001277923584,21.040000915527344
2020-11-24,87.8428726196289,275.4090881347656,205.59124755859375,12.918317794799805,23.81999969482422
2020-11-25,87.9695053100586,274.0863342285156,205.60086059570312,13.194472312927246,29.049999237060547
2020-11-27,89.05010223388672,276.29425048828125,206.9082794189453,13.220891952514648,27.65999984741211
2020-11-30,87.43863677978516,275.4588623046875,205.7931365966797,13.36071491241455,27.110000610351562
2020-12-01,89.29393768310547,284.9865417480469,207.85037231445312,13.349250793457031,25.670000076293945
2020-12-02,90.77629852294922,285.9512634277344,207.0428466796875,13.503280639648438,22.510000228881836
2020-12-03,90.71770477294922,280.3122253417969,205.95655822753906,13.359176635742188,24.030000686645508
2020-12-04,90.77828216552734,278.1739501953125,206.07191467285156,13.520981788635254,23.850000381469727
2020-12-07,90.35567474365234,284.0218505859375,206.00460815429688,13.569348335266113,28.940000534057617
2020-12-08,90.30949401855469,281.85369873046875,207.65811157226562,13.313302993774414,28.59000015258789
2020-12-09,88.60018157958984,276.4036560058594,203.6109161376953,12.8952054977417,26.6299991607666
2020-12-10,88.16317749023438,275.60797119140625,202.38038635253906,12.936592102050781,27.040000915527344
