Date,148070.KS,AMD,BIL,BWX,EMB,HYG,IEF,LQD,META,MSFT,NVDA,SHY,TIP,TLT
2020-09-16,115165.234375,76.66000366210938,79.55791473388672,27.82549476623535,89.20022583007812,64.84547424316406,108.03028106689453,113.81014251708984,262.08221435546875,196.60716247558594,12.476412773132324,77.32268524169922,104.69529724121094,141.33509826660156
2020-09-17,114969.7421875,76.55000305175781,79.55791473388672,27.96470832824707,88.83014678955078,64.77647399902344,108.06576538085938,113.8352279663086,253.4296875,194.55528259277344,12.425568580627441,77.3048095703125,104.75325775146484,141.7671661376953
2020-09-18,115024.3046875,74.93000030517578,79.54052734375,27.946155548095703,88.4206771850586,64.61548614501953,107.9681625366211,113.62596130371094,251.15216064453125,192.13900756835938,12.152153968811035,77.31373596191406,104.6622314453125,141.32643127441406
2020-09-21,115037.9296875,77.94000244140625,79.54052734375,27.82549476623535,87.55452728271484,64.09423065185547,108.163330078125,113.5171127319336,246.7960662841797,194.20046997070312,12.479156494140625,77.3048095703125,104.47185516357422,142.04354858398438
2020-09-22,115274.34375,77.69999694824219,79.54052734375,27.72339630126953,87.3734359741211,64.31652069091797,108.163330078125,113.58409881591797,253.36004638671875,198.87953186035156,12.599289894104004,77.32268524169922,104.50493621826172,141.9312744140625
2020-09-23,115624.3984375,74.7300033569336,79.54052734375,27.528491973876953,86.24738311767578,63.664913177490234,108.163330078125,112.76364135742188,247.66131591796875,192.3307647705078,12.086852073669434,77.32268524169922,104.3973617553711,142.12135314941406
2020-09-24,115656.21875,75.81999969482422,79.54922485351562,27.491369247436523,86.47575378417969,63.70326614379883,108.21659851074219,112.47904205322266,248.1685333251953,194.82376098632812,12.310420989990234,77.31373596191406,104.47185516357422,142.66575622558594
2020-09-25,115678.9453125,78.05999755859375,79.54052734375,27.48208236694336,86.89308166503906,63.588279724121094,108.30530548095703,112.3618392944336,253.4296875,199.2631072998047,12.834569931030273,77.32268524169922,104.612548828125,142.66575622558594
2020-09-28,115910.8125,79.4800033569336,79.54922485351562,27.612022399902344,87.08992767333984,64.00221252441406,108.28754425048828,112.93112182617188,255.41876220703125,200.81637573242188,12.99532699584961,77.33160400390625,104.82769775390625,142.2595672607422
2020-09-29,115801.703125,81.7699966430664,79.54922485351562,27.658422470092773,86.89308166503906,64.05587768554688,108.3674087524414,112.78880310058594,260.3616638183594,198.72616577148438,13.185500144958496,77.32268524169922,105.00151062011719,142.42376708984375
