Date,148070.KS,BIL,BWX,EMB,GOOG,HYG,IEF,LQD,META,MSFT,NVDA,PLTR,SHY,TIP,TLT
2020-09-16,115165.2265625,79.55792999267578,27.825502395629883,89.20024108886719,75.52814483642578,64.84545135498047,108.03028869628906,113.81010437011719,262.0821838378906,196.60714721679688,12.476415634155273,,77.32267761230469,104.69527435302734,141.3351593017578
2020-09-17,114969.7421875,79.55792999267578,27.964710235595703,88.83013153076172,74.26825714111328,64.77645874023438,108.06575775146484,113.83525848388672,253.42967224121094,194.55528259277344,12.425572395324707,,77.30480194091797,104.75320434570312,141.76715087890625
2020-09-18,115024.2890625,79.54055786132812,27.946163177490234,88.42069244384766,72.50334930419922,64.61548614501953,107.96814727783203,113.62599182128906,251.1521453857422,192.1390380859375,12.152153968811035,,77.31372833251953,104.66218566894531,141.3265380859375
2020-09-21,115037.9296875,79.54055786132812,27.825502395629883,87.55450439453125,71.0716323852539,64.09420776367188,108.16333770751953,113.51710510253906,246.7960662841797,194.20050048828125,12.479155540466309,,77.30480194091797,104.47184753417969,142.04359436035156
2020-09-22,115274.34375,79.54055786132812,27.723400115966797,87.37340545654297,72.77498626708984,64.3165283203125,108.16333770751953,113.58412170410156,253.36004638671875,198.8795623779297,12.599288940429688,,77.32267761230469,104.50495910644531,141.93124389648438
2020-09-23,115624.3984375,79.54055786132812,27.52849769592285,86.24737548828125,70.27955627441406,63.6649169921875,108.16333770751953,112.7636947631836,247.66131591796875,192.33079528808594,12.086853981018066,,77.32267761230469,104.39738464355469,142.12142944335938
2020-09-24,115656.2265625,79.54923248291016,27.49136734008789,86.47573852539062,70.92911529541016,63.703277587890625,108.21658325195312,112.47908020019531,248.1685333251953,194.82376098632812,12.31042194366455,,77.31372833251953,104.47184753417969,142.6656951904297
2020-09-25,115678.953125,79.54055786132812,27.48208999633789,86.89307403564453,71.75695037841797,63.588294982910156,108.3052978515625,112.36185455322266,253.42967224121094,199.2631072998047,12.834571838378906,,77.32267761230469,104.61257934570312,142.6656951904297
2020-09-28,115910.8203125,79.54923248291016,27.612030029296875,87.08995819091797,72.7282943725586,64.00222778320312,108.28754425048828,112.9311294555664,255.4187774658203,200.81642150878906,12.995328903198242,,77.33162689208984,104.82769012451172,142.25958251953125
2020-09-29,115801.703125,79.54923248291016,27.658430099487305,86.89307403564453,72.96715545654297,64.05587005615234,108.36740112304688,112.78881072998047,260.3616943359375,198.72613525390625,13.185500144958496,,77.32267761230469,105.00151824951172,142.42376708984375
2020-09-30,,79.54055786132812,27.53777503967285,87.31829833984375,72.98057556152344,64.3165283203125,108.07463836669922,112.77201843261719,260.47100830078125,201.66973876953125,13.4893217086792,9.5,77.33162689208984,104.68702697753906,141.0586395263672
2020-10-01,,79.54055786132812,27.613941192626953,87.48101043701172,73.99810791015625,64.53748321533203,108.13591003417969,113.08580017089844,265.17529296875,203.7120361328125,13.573066711425781,9.460000038146973,77.31371307373047,104.66793060302734,141.291259765625
2020-10-02,,79.54055786132812,27.66037940979004,87.17291259765625,72.42536163330078,64.53748321533203,108.02938079833984,113.10261535644531,258.521728515625,197.70022583007812,13.022494316101074,9.199999809265137,77.32266998291016,104.68451690673828,140.76376342773438
2020-10-05,115401.6328125,79.54055786132812,27.6789493560791,87.51265716552734,73.79600524902344,65.02251434326172,107.34579467773438,112.72509765625,263.2060241699219,201.7176971435547,13.600981712341309,9.029999732971191,77.29585266113281,104.3689956665039,138.0133056640625
2020-10-06,115006.109375,79.54923248291016,27.68824577331543,87.57583618164062,72.17806243896484,64.87620544433594,107.59435272216797,112.6328125,257.2486877441406,197.43174743652344,13.694694519042969,9.899999618530273,77.29585266113281,104.3856201171875,138.75711059570312
2020-10-07,114878.8203125,79.54055786132812,27.576778411865234,87.76544952392578,72.51824188232422,65.1071548461914,107.28365325927734,112.6663589477539,256.711669921875,201.19032287597656,13.921504020690918,10.0,77.28690338134766,104.3773193359375,137.74513244628906
2020-10-08,114746.9765625,79.54055786132812,27.743974685668945,88.61869049072266,73.79153442382812,65.25344848632812,107.47894287109375,112.94319152832031,262.3208923339844,201.909423828125,13.796634674072266,10.0,77.28690338134766,104.79248809814453,138.4889373779297
2020-10-09,,79.54055786132812,27.874008178710938,88.83198547363281,75.2460708618164,65.39971923828125,107.4256820678711,113.2032699584961,263.00714111328125,206.92408752441406,13.720865249633789,9.949999809265137,77.28690338134766,104.82569885253906,138.46304321289062
2020-10-12,114710.6015625,79.54923248291016,27.855430603027344,89.06111145019531,77.92424011230469,65.73072814941406,107.54108428955078,113.85773468017578,274.2454528808594,212.28390502929688,14.18270492553711,9.890000343322754,77.3047866821289,104.8921127319336,138.90415954589844
2020-10-13,114851.5390625,79.54055786132812,27.80899429321289,88.83990478515625,78.04988861083984,65.43818664550781,107.7807846069336,113.74864196777344,274.63336181640625,213.683837890625,14.204887390136719,9.470000267028809,77.29585266113281,104.8921127319336,139.89881896972656
2020-10-14,115065.2109375,79.54055786132812,27.92974281311035,88.80831146240234,77.8711166381836,65.27654266357422,107.8163070678711,113.85773468017578,270.3369140625,211.7661590576172,14.052355766296387,9.34000015258789,77.29585266113281,104.8921127319336,140.21878051757812
2020-10-15,115447.1015625,79.54055786132812,27.79970359802246,88.4527816772461,77.42665100097656,65.23033905029297,107.70086669921875,113.74024963378906,265.26470947265625,210.6156005859375,13.927485466003418,9.90999984741211,77.31371307373047,104.85887145996094,139.97662353515625
