Date,148070.KS,AMD,BIL,BWX,EMB,HYG,IEF,LQD,META,MSFT,SHY,TIP,TLT
2020-09-16,115165.234375,76.66000366210938,79.55792999267578,27.82549476623535,89.20023345947266,64.84544372558594,108.0302963256836,113.81009674072266,262.08221435546875,196.60716247558594,77.32266235351562,104.6952896118164,141.3351287841797
2020-09-17,114969.7421875,76.55000305175781,79.55792999267578,27.964717864990234,88.83013916015625,64.77645874023438,108.06578063964844,113.83519744873047,253.42967224121094,194.55526733398438,77.3048095703125,104.75324249267578,141.76712036132812
2020-09-18,115024.296875,74.93000030517578,79.5405502319336,27.946155548095703,88.42069244384766,64.61548614501953,107.9681396484375,113.62591552734375,251.15216064453125,192.1389923095703,77.3137435913086,104.66222381591797,141.32647705078125
2020-09-21,115037.9296875,77.94000244140625,79.5405502319336,27.82549476623535,87.55451202392578,64.0942153930664,108.16334533691406,113.51712799072266,246.79605102539062,194.2005157470703,77.3048095703125,104.47185516357422,142.04360961914062
2020-09-22,115274.3359375,77.69999694824219,79.5405502319336,27.723407745361328,87.37340545654297,64.31652069091797,108.16334533691406,113.5840835571289,253.3600616455078,198.87954711914062,77.32266235351562,104.50497436523438,141.93124389648438
2020-09-23,115624.3984375,74.7300033569336,79.5405502319336,27.528491973876953,86.24737548828125,63.664947509765625,108.16334533691406,112.76374053955078,247.66131591796875,192.330810546875,77.32266235351562,104.3973617553711,142.121337890625
2020-09-24,115656.21875,75.81999969482422,79.54924774169922,27.491369247436523,86.47571563720703,63.70326614379883,108.2165756225586,112.47908020019531,248.1685333251953,194.82374572753906,77.3137435913086,104.47185516357422,142.6657257080078
2020-09-25,115678.953125,78.05999755859375,79.5405502319336,27.48207664489746,86.89308166503906,63.588260650634766,108.30529022216797,112.36186981201172,253.42967224121094,199.26309204101562,77.32266235351562,104.61254119873047,142.6657257080078
2020-09-28,115910.8203125,79.4800033569336,79.54924774169922,27.61202621459961,87.08995056152344,64.00221252441406,108.28756713867188,112.93110656738281,255.41876220703125,200.81637573242188,77.3316421508789,104.82770538330078,142.25962829589844
2020-09-29,115801.703125,81.7699966430664,79.54924774169922,27.658430099487305,86.89308166503906,64.05587768554688,108.36738586425781,112.78878021240234,260.3616638183594,198.7261505126953,77.32266235351562,105.00149536132812,142.42379760742188
2020-09-30,,81.98999786376953,79.5405502319336,27.537778854370117,87.31827545166016,64.31652069091797,108.07463073730469,112.77204132080078,260.4710388183594,201.66976928710938,77.3316421508789,104.68701934814453,141.0586395263672
2020-10-01,,84.86000061035156,79.5405502319336,27.613935470581055,87.4810562133789,64.53746795654297,108.13591003417969,113.08586883544922,265.1752014160156,203.7120361328125,77.3137435913086,104.66792297363281,141.29135131835938
2020-10-02,,81.80000305175781,79.5405502319336,27.660377502441406,87.17290496826172,64.53746795654297,108.02934265136719,113.10265350341797,258.5216979980469,197.70021057128906,77.32266235351562,104.68455505371094,140.76368713378906
2020-10-05,115401.6328125,86.1500015258789,79.5405502319336,27.6789608001709,87.51264190673828,65.0224838256836,107.3458023071289,112.72509002685547,263.2060241699219,201.71768188476562,77.29586029052734,104.36898803710938,138.0133514404297
2020-10-06,115006.1171875,84.4800033569336,79.54924774169922,27.688241958618164,87.57584381103516,64.87621307373047,107.5943603515625,112.63277435302734,257.2486877441406,197.43174743652344,77.29586029052734,104.3856201171875,138.7571563720703
2020-10-07,114878.8203125,86.69000244140625,79.5405502319336,27.57678985595703,87.76541900634766,65.10717010498047,107.2836685180664,112.66633605957031,256.711669921875,201.19036865234375,77.28690338134766,104.3773193359375,137.7451934814453
2020-10-08,114746.9765625,86.51000213623047,79.5405502319336,27.743976593017578,88.6186752319336,65.25341796875,107.47895050048828,112.9432601928711,262.3209228515625,201.90943908691406,77.28690338134766,104.79246520996094,138.489013671875
2020-10-09,,83.0999984741211,79.5405502319336,27.874006271362305,88.83197784423828,65.39971160888672,107.42570495605469,113.20329284667969,263.0071716308594,206.92413330078125,77.28690338134766,104.82568359375,138.4630584716797
2020-10-12,114710.609375,84.29000091552734,79.54924774169922,27.855426788330078,89.0611343383789,65.73075103759766,107.54110717773438,113.85771179199219,274.2454833984375,212.28392028808594,77.3047866821289,104.89213562011719,138.9041290283203
2020-10-13,114851.53125,85.27999877929688,79.5405502319336,27.80899429321289,88.83990478515625,65.43821716308594,107.7807846069336,113.74861907958984,274.63336181640625,213.6838836669922,77.29586029052734,104.89213562011719,139.89871215820312
2020-10-14,115065.2109375,84.20999908447266,79.5405502319336,27.929737091064453,88.8083267211914,65.27653503417969,107.81629943847656,113.85771179199219,270.3369140625,211.7661895751953,77.29586029052734,104.89213562011719,140.21878051757812
2020-10-15,115447.09375,83.12999725341797,79.5405502319336,27.79970359802246,88.45279693603516,65.23033142089844,107.70088958740234,113.74027252197266,265.2647399902344,210.61557006835938,77.3137435913086,104.85889434814453,139.9766082763672
2020-10-16,115397.0859375,83.16999816894531,79.54924774169922,27.846147537231445,88.58707427978516,65.15335845947266,107.63876342773438,113.5472640991211,264.47906494140625,210.61557006835938,77.3047866821289,104.900390625,139.58743286132812
2020-10-19,115774.4296875,82.0,79.54924774169922,27.883296966552734,88.07355499267578,64.92240142822266,107.46118927001953,113.32919311523438,259.9737548828125,205.3995819091797,77.3047866821289,104.65132141113281,139.0598907470703
2020-10-20,115633.4921875,81.55999755859375,79.5405502319336,27.957603454589844,88.12097930908203,65.15335845947266,107.23040771484375,113.0942153930664,266.10015869140625,205.81187438964844,77.29586029052734,104.55997467041016,137.73654174804688
